127.0.0.1 - - [29/Jan/2024:10:19:48 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:19:49 +0700] "GET /DoAnWeb/DangNhap.jsp HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:19:49 +0700] "GET /DoAnWeb/assets/img/vietnam.png HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:19:49 +0700] "GET /DoAnWeb/assets/img/united-states.png HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:19:49 +0700] "GET /DoAnWeb/assets/css/style.css HTTP/1.1" 200 10471
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:19:49 +0700] "GET /DoAnWeb/assets/js/script.js HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 34054
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/css/bootstrap.min.css HTTP/1.1" 200 153111
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/css/fontawesome.min.css HTTP/1.1" 200 59356
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/css/custom.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/css/templatemo.css HTTP/1.1" 200 5656
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/js/custom.js HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/img/Banner1.jpg HTTP/1.1" 200 67644
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/img/Banner2.jpg HTTP/1.1" 200 1605753
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 80821
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/js/templatemo.js HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:09 +0700] "GET /DoAnWeb/assets/js/countdown.js HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:10 +0700] "GET /DoAnWeb/assets/img/Banner4.jpg HTTP/1.1" 200 370265
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:10 +0700] "GET /DoAnWeb/assets/img/Coffee1black.jpg HTTP/1.1" 200 95328
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:10 +0700] "GET /DoAnWeb/assets/img/Coffee2milk.jpg HTTP/1.1" 200 96990
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:10 +0700] "GET /DoAnWeb/assets/img/MilkTea1.jpg HTTP/1.1" 200 43292
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:10 +0700] "GET /DoAnWeb/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 78460
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:10 +0700] "GET /DoAnWeb/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84734
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee3faint.jpg HTTP/1.1" 200 140011
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee10caramel.jpg HTTP/1.1" 200 115673
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee7Capuchino.jpg HTTP/1.1" 200 113906
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee5latte.jpg HTTP/1.1" 200 78805
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee4espresso.jpg HTTP/1.1" 200 44494
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee6mocha.jpg HTTP/1.1" 200 43129
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee8coconutmilk.jpg HTTP/1.1" 200 205186
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Coffee9egg.jpg HTTP/1.1" 200 133587
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice1.jpg HTTP/1.1" 200 96474
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice8.jpg HTTP/1.1" 200 134937
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice5.jpg HTTP/1.1" 200 430693
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice6.jpg HTTP/1.1" 200 69704
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice7.jpg HTTP/1.1" 200 144330
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice10.jpg HTTP/1.1" 200 112337
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice9.jpg HTTP/1.1" 200 101157
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice2.jpg HTTP/1.1" 200 148992
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice3.jpg HTTP/1.1" 200 160348
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/Juice4.jpg HTTP/1.1" 200 98773
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea7.jpg HTTP/1.1" 200 51936
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea8.jpg HTTP/1.1" 200 96614
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea3.jpg HTTP/1.1" 200 54696
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea6.jpg HTTP/1.1" 200 74688
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13548
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea5.jpg HTTP/1.1" 200 9868
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea10.jpg HTTP/1.1" 200 137600
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea9.jpg HTTP/1.1" 200 93830
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea2.jpg HTTP/1.1" 200 76345
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:20:57 +0700] "GET /DoAnWeb/assets/img/MilkTea4.jpg HTTP/1.1" 200 39925
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:21:00 +0700] "GET /DoAnWeb/XuLyDetailProduct?productid=p03 HTTP/1.1" 200 59145
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:21:00 +0700] "GET /DoAnWeb/assets/js/slick.min.js HTTP/1.1" 200 42863
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:47 +0700] "GET /DoAnWeb/XuLyLogOut HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 28881
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/css/core.css HTTP/1.1" 200 433058
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/fonts/boxicons.css HTTP/1.1" 200 85227
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 200 5008
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/apex-charts/apex-charts.css HTTP/1.1" 200 18321
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/css/demo.css HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/css/theme-default.css HTTP/1.1" 200 27597
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/jquery/jquery.js HTTP/1.1" 200 327896
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/img/avatars/1.png HTTP/1.1" 200 14015
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/js/config.js HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/popper/popper.js HTTP/1.1" 200 26152
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/js/helpers.js HTTP/1.1" 200 34161
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/js/bootstrap.js HTTP/1.1" 200 355868
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 200 45705
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/libs/apex-charts/apexcharts.js HTTP/1.1" 200 502408
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/vendor/js/menu.js HTTP/1.1" 200 26481
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/js/main.js HTTP/1.1" 200 3846
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:55 +0700] "GET /DoAnWeb/assetsforadmin/js/dashboards-analytics.js HTTP/1.1" 200 15189
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:56 +0700] "GET /DoAnWeb/assetsforadmin/vendor/fonts/boxicons/boxicons.woff2 HTTP/1.1" 200 115680
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:56:58 +0700] "GET /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:02 +0700] "GET /DoAnWeb/XuLyLogOut HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:09 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 28881
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:11 +0700] "GET /DoAnWeb/XuLyAdmin HTTP/1.1" 200 23288
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:11 +0700] "GET /DoAnWeb/XuLyIndexAdmin HTTP/1.1" 200 28896
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:15 +0700] "GET /DoAnWeb/XuLyAdmin HTTP/1.1" 200 23288
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:18 +0700] "GET /DoAnWeb/XuLyAdminOrderCheckOut HTTP/1.1" 200 25385
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:24 +0700] "GET /DoAnWeb/DangNhap.jsp HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:28 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 34054
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:31 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84734
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:33 +0700] "GET /DoAnWeb/Addtocart?productid=p03 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:33 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84735
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:34 +0700] "GET /DoAnWeb/Addtocart?productid=p07 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:34 +0700] "GET /DoAnWeb/XuLyProduct HTTP/1.1" 200 84735
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:35 +0700] "GET /DoAnWeb/XuLyToCart HTTP/1.1" 200 20136
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:37 +0700] "GET /DoAnWeb/XuLyIncDec?action=inc&id=p07 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:37 +0700] "GET /DoAnWeb/XuLyToCart HTTP/1.1" 200 20138
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:39 +0700] "GET /DoAnWeb/XuLyCheckOut HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:39 +0700] "GET /DoAnWeb/XuLyToCheckOut HTTP/1.1" 200 15786
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:57:39 +0700] "GET /DoAnWeb/assets/js/LimitTextArea.js HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:58:07 +0700] "POST /DoAnWeb/XuLyThanhToan?&username=Andree HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:58:08 +0700] "GET /DoAnWeb/XuLyThankYou HTTP/1.1" 200 14617
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:58:08 +0700] "GET /DoAnWeb/assets/js/confetti.js HTTP/1.1" 200 7235
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:58:36 +0700] "GET /DoAnWeb/XuLyThankYou HTTP/1.1" 200 14564
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:58:36 +0700] "GET /DoAnWeb/favicon.png HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [29/Jan/2024:10:58:36 +0700] "GET /DoAnWeb/assets/img/favicon.ico HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:28 +0700] "GET /DoAnWeb/XuLyLogOut HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:34 +0700] "POST /DoAnWeb/XuLyDangNhap HTTP/1.1" 200 29369
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:37 +0700] "GET /DoAnWeb/XuLyAdminOrderCheckOut HTTP/1.1" 200 25385
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:39 +0700] "GET /DoAnWeb/XuLyAdminOrderCheckOut HTTP/1.1" 200 25385
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:39 +0700] "GET /DoAnWeb/assetsforadmin/img/favicon/favicon.ico HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:46 +0700] "GET /DoAnWeb/XuLyAdminOrder HTTP/1.1" 200 25409
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:51 +0700] "GET /DoAnWeb/XuLyAdmin HTTP/1.1" 200 23288
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:55 +0700] "GET /DoAnWeb/XuLyAdminProduct HTTP/1.1" 200 73547
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:06:57 +0700] "GET /DoAnWeb/XuLyIndexAdmin HTTP/1.1" 200 29386
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:07:05 +0700] "GET /DoAnWeb/XuLyHDOrder?action=LQuantity HTTP/1.1" 200 29386
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:07:08 +0700] "GET /DoAnWeb/XuLyHDOrder?action=MQuantity HTTP/1.1" 200 29386
0:0:0:0:0:0:0:1 - - [29/Jan/2024:11:07:11 +0700] "GET /DoAnWeb/XuLyAdminOrder HTTP/1.1" 200 25409
